"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_de","Text_de"
3506,19.3,19.3,80.7,"Vaz/Obervaz GR","Nein zur Umweltverantwortungsinitiative in Vaz/Obervaz: Mit 582 Nein- zu 139 Ja-Stimmen haben die Stimmbürgerinnen und Stimmbürger das Volksbegehren abgelehnt. Das sind 80,7 Prozent. Vaz/Obervaz hat damit gleich wie der Kanton Graubünden Nein gesagt zu dieser Vorlage."
3513,26.4,26.4,73.6,"Lantsch/Lenz GR","Nein zur Umweltverantwortungsinitiative in Lantsch/Lenz: Die Gemeinde hat die Vorlage mit 73,6 Prozent abgelehnt. Lantsch/Lenz hat damit gleich wie der Kanton Graubünden Nein gesagt zu dieser Vorlage."
3514,23.9,23.9,76.1,"Schmitten GR","Schmitten GR sagt Nein zur Umweltverantwortungsinitiative: Mit 35 Nein- zu 11 Ja-Stimmen hat die Gemeinde das Volksbegehren verworfen. Schmitten GR hat damit gleich wie der Kanton Graubünden Nein gesagt zu dieser Vorlage."
3542,22.3,22.3,77.7,"Albula/Alvra GR","Keine Mehrheit für die Umweltverantwortungsinitiative in Albula/Alvra: Mit 223 Nein-Stimmen zu 64 Ja-Stimmen oder 77,7 Prozent hat die Gemeinde das Volksbegehren verworfen. Albula/Alvra hat damit gleich wie der Kanton Graubünden Nein gesagt zu dieser Vorlage."
3543,20.3,20.3,79.7,"Surses GR","Nein zur Umweltverantwortungsinitiative in Surses: Die Gemeinde hat die Vorlage mit 79,7 Prozent abgelehnt. Surses hat damit gleich wie der Kanton Graubünden Nein gesagt zu dieser Vorlage."
3544,31,31,69,"Bergün Filisur GR","Nein zur Umweltverantwortungsinitiative in Bergün Filisur: Die Gemeinde hat die Vorlage mit 69 Prozent abgelehnt. Bergün Filisur hat damit gleich wie der Kanton Graubünden Nein gesagt zu dieser Vorlage."
3551,17.5,17.5,82.5,"Brusio GR","Keine Mehrheit für die Umweltverantwortungsinitiative in Brusio: Mit 260 Nein-Stimmen zu 55 Ja-Stimmen oder 82,5 Prozent hat die Gemeinde das Volksbegehren verworfen. Brusio hat damit gleich wie der Kanton Graubünden Nein gesagt zu dieser Vorlage."
3561,22.2,22.2,77.8,"Poschiavo GR","77,8 Prozent der Stimmbürgerinnen und Stimmbürger von Poschiavo sagen Nein zur Umweltverantwortungsinitiative. Poschiavo hat damit gleich wie der Kanton Graubünden Nein gesagt zu dieser Vorlage."
3572,14.7,14.7,85.3,"Falera GR","85,3 Prozent der Stimmbürgerinnen und Stimmbürger von Falera sagen Nein zur Umweltverantwortungsinitiative. Falera hat damit gleich wie der Kanton Graubünden Nein gesagt zu dieser Vorlage."
3575,16.9,16.9,83.1,"Laax GR","In Laax hat die Umweltverantwortungsinitiative keine Mehrheit gefunden. Auf 83,1 Prozent der abgegebenen Stimmzettel stand ein Nein. Laax hat damit gleich wie der Kanton Graubünden Nein gesagt zu dieser Vorlage."
