"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_it","Text_it"
3506,19.3,19.3,80.7,"Vaz/Obervaz (GR)","Gli elettori di Vaz/Obervaz si sono mostrati scettici nei confronti del potenziamento delle strade nazionali, che è stata respinta con il 80,7 per cento di voti contrari. Vaz/Obervaz ha respinto il testo, risultato che si è confermato anche a livello cantonale."
3513,26.4,26.4,73.6,"Lantsch/Lenz (GR)","Nel comune di Lantsch/Lenz, i cittadini hanno respinto l'iniziativa per la resposanbilità ambientale con il 73,6 per cento di voti contrari. Lantsch/Lenz ha respinto il testo, risultato che si è confermato anche a livello cantonale."
3514,23.9,23.9,76.1,"Schmitten (GR)","L'iniziativa per la resposanbilità ambientale non ha passato la prova delle urne a Schmitten GR, dove è stata respinta con 35 voti contro i 11 a favore. Schmitten GR ha respinto il testo, risultato che si è confermato anche a livello cantonale."
3542,22.3,22.3,77.7,"Albula/Alvra (GR)","Il 77,7 per cento degli elettori di Albula/Alvra ha respinto l'iniziativa per la resposanbilità ambientale. Albula/Alvra ha respinto il testo, risultato che si è confermato anche a livello cantonale."
3543,20.3,20.3,79.7,"Surses (GR)","Nel comune di Surses, i cittadini hanno respinto l'iniziativa per la resposanbilità ambientale con il 79,7 per cento di voti contrari. Surses ha respinto il testo, risultato che si è confermato anche a livello cantonale."
3544,31,31,69,"Bergün Filisur (GR)","Nel comune di Bergün Filisur, i cittadini hanno respinto l'iniziativa per la resposanbilità ambientale con il 69 per cento di voti contrari. Bergün Filisur ha respinto il testo, risultato che si è confermato anche a livello cantonale."
3551,17.5,17.5,82.5,"Brusio (GR)","Il 82,5 per cento degli elettori di Brusio ha respinto l'iniziativa per la resposanbilità ambientale. Brusio ha respinto il testo, risultato che si è confermato anche a livello cantonale."
3561,22.2,22.2,77.8,"Poschiavo (GR)","Gli abitanti di Poschiavo hanno respinto l'iniziativa per la resposanbilità ambientale con il 77,8 per cento di ""no"". Poschiavo ha respinto il testo, risultato che si è confermato anche a livello cantonale."
3572,14.7,14.7,85.3,"Falera (GR)","Gli abitanti di Falera hanno respinto l'iniziativa per la resposanbilità ambientale con il 85,3 per cento di ""no"". Falera ha respinto il testo, risultato che si è confermato anche a livello cantonale."
3575,16.9,16.9,83.1,"Laax (GR)","I cittadini di Laax hanno respinto l'iniziativa per la resposanbilità ambientale con il 83,1 per cento di voti contrari. Laax ha respinto il testo, risultato che si è confermato anche a livello cantonale."
3581,33,33,67,"Sagogn (GR)","Nel comune di Sagogn, i cittadini hanno respinto l'iniziativa per la resposanbilità ambientale con il 67 per cento di voti contrari. Sagogn ha respinto il testo, risultato che si è confermato anche a livello cantonale."
3582,10.6,10.6,89.4,"Schluein (GR)","A Schluein gli abitanti si sono opposti al potenziamento delle strade nazionali con il 89,4 per cento di voti a sfavore. Schluein ha respinto il testo, risultato che si è confermato anche a livello cantonale."
3603,17.9,17.9,82.1,"Vals (GR)","Nel comune di Vals, i cittadini hanno respinto l'iniziativa per la resposanbilità ambientale con il 82,1 per cento di voti contrari. Vals ha respinto il testo, risultato che si è confermato anche a livello cantonale."
3618,20,20,80,"Lumnezia (GR)","Il 80 per cento degli elettori di Lumnezia ha respinto l'iniziativa per la resposanbilità ambientale. Lumnezia ha respinto il testo, risultato che si è confermato anche a livello cantonale."
3619,25.3,25.3,74.7,"Ilanz/Glion (GR)","I cittadini di Ilanz/Glion hanno respinto l'iniziativa per la resposanbilità ambientale con il 74,7 per cento di voti contrari. Ilanz/Glion ha respinto il testo, risultato che si è confermato anche a livello cantonale."
3633,21.3,21.3,78.7,"Fürstenau (GR)","L'iniziativa per la resposanbilità ambientale è stata respinta dagli elettori di Fürstenau, dove i ""no"" sono stati 74 e i voti favorevoli 20. Fürstenau ha respinto il testo, risultato che si è confermato anche a livello cantonale."
3637,23.8,23.8,76.2,"Rothenbrunnen (GR)","L'iniziativa per la resposanbilità ambientale non ha passato la prova delle urne a Rothenbrunnen, dove è stata respinta con 64 voti contro i 20 a favore. Rothenbrunnen ha respinto il testo, risultato che si è confermato anche a livello cantonale."
3638,30.3,30.3,69.7,"Scharans (GR)","L'iniziativa per la resposanbilità ambientale è stata respinta a Scharans, dove ha riscosso il 69,7 per cento di ""no"". Scharans ha respinto il testo, risultato che si è confermato anche a livello cantonale."
3640,16.4,16.4,83.6,"Sils im Domleschg (GR)","I cittadini di Sils im Domleschg hanno respinto l'iniziativa per la resposanbilità ambientale con il 83,6 per cento di voti contrari. Sils im Domleschg ha respinto il testo, risultato che si è confermato anche a livello cantonale."
3661,26.4,26.4,73.6,"Cazis (GR)","Il 73,6 per cento degli elettori di Cazis ha respinto l'iniziativa per la resposanbilità ambientale. Cazis ha respinto il testo, risultato che si è confermato anche a livello cantonale."
3662,25,25,75,"Flerden (GR)","L'iniziativa per la resposanbilità ambientale è stata respinta dagli elettori di Flerden, dove i ""no"" sono stati 57 e i voti favorevoli 19. Flerden ha respinto il testo, risultato che si è confermato anche a livello cantonale."
3663,38.9,38.9,61.1,"Masein (GR)","A Masein gli abitanti si sono opposti al potenziamento delle strade nazionali con il 61,1 per cento di voti a sfavore. Masein ha respinto il testo, risultato che si è confermato anche a livello cantonale."
3668,27.3,27.3,72.7,"Thusis (GR)","I cittadini di Thusis hanno respinto l'iniziativa per la resposanbilità ambientale con il 72,7 per cento di voti contrari. Thusis ha respinto il testo, risultato che si è confermato anche a livello cantonale."
3669,17.7,17.7,82.3,"Tschappina (GR)","L'iniziativa per la resposanbilità ambientale non ha passato la prova delle urne a Tschappina, dove è stata respinta con 51 voti contro i 11 a favore. Tschappina ha respinto il testo, risultato che si è confermato anche a livello cantonale."
3670,15.5,15.5,84.5,"Urmein (GR)","L'iniziativa per la resposanbilità ambientale è stata respinta dagli elettori di Urmein, dove i ""no"" sono stati 60 e i voti favorevoli 11. Urmein ha respinto il testo, risultato che si è confermato anche a livello cantonale."
3672,26.6,26.6,73.4,"Safiental (GR)","Il 73,4 per cento degli elettori di Safiental ha respinto l'iniziativa per la resposanbilità ambientale. Safiental ha respinto il testo, risultato che si è confermato anche a livello cantonale."
